address,contract_type,official_name,pool_group,status,decimals,impl_address,event_count,first_seen,last_seen,in_official_registry,note
0xd6d4bcde6c816f17889f1dd3000af0261b03a196,Actors:daoMultisig,daoMultisig,Actors,active,6,,,,,yes,
0x0d8b2c1f11c5f9cd51de6db3b256c1e3b0800200,Actors:globalAdmin,globalAdmin,Actors,active,6,,,,,yes,
0x2efff88747eb5a3ff00d4d8d0f0800e306c0426b,Actors:governor,governor,Actors,active,6,,,,,yes,
0xce1ce7c7f436dcc4e28bc8bf86115514d3dc34e8,Actors:operationalAdmin,operationalAdmin,Actors,active,6,,,,,yes,
0x54b130c704919320e17f4f1ffa4832a91ab29dca,Actors:permissionsAdmin,permissionsAdmin,Actors,active,6,,,,,yes,
0x6b1a78c1943b03086f7ee53360f9b0672bd60818,Actors:securityAdmin,securityAdmin,Actors,active,6,,,,,yes,
0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,ExternalProtocolContracts:aUsdc,aUsdc,ExternalProtocolContracts,active,6,,,,,yes,
0x23878914efe38d27c4d67ab83ed1b93a74d4086a,ExternalProtocolContracts:aUsdt,aUsdt,ExternalProtocolContracts,active,6,,,,,yes,
0xa3931d71877c0e7a3148cb7eb4463524fec27fbd,ExternalProtocolContracts:savingsUsds,savingsUsds,ExternalProtocolContracts,active,6,,,,,yes,
0xdc035d45d973e3ec169d2276ddab16f1e407384f,ExternalProtocolContracts:usds,usds,ExternalProtocolContracts,active,6,,,,,yes,
0xa188eec8f81263234da3622a406892f3d630f98c,ExternalProtocolContracts:usdsLitePSM,usdsLitePSM,ExternalProtocolContracts,active,6,,,,,yes,
0x01ab799f77f9a9f4dd0d2b6e7c83dcf3f48d5650,Factories:aaveStrategyFactory,aaveStrategyFactory,Factories,active,6,,,,,yes,
0x876d54dbf61473ca169b89b95344a14e81f37afe,Factories:basicStrategyFactory,basicStrategyFactory,Factories,active,6,,,,,yes,
