address,contract_type,impl_address,decimals,event_count,first_seen,last_seen
0x3e36372119f12dee3de6c260cc7283557c24f471,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,10,2023-06-01,2025-03-07
0x1f2bca37106b30c4d72d8e60ebd2bfeaa10bffe2,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,9,2023-06-01,2025-02-14
0xd0bab1d546e4a623839791f30481862a1cb1a428,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,8,2022-04-08,2022-11-21
0xc3f20c6eefe39e2be8214dcc8cc41479a115f8ea,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,7,2022-04-12,2022-11-08
0x48a89e5267dd3e22822c99d0bf60a8a4cfd48b48,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,7,2023-03-16,2023-11-08
0x1a733df2d0cb01c0cee221ed0533b3c038bc1945,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,7,2022-04-11,2022-11-07
0x6c4463896be1bfaafd4378882a92e0113532090d,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,7,2022-04-07,2022-11-05
0xecfecc0d17b756266ba3b57bcfa8f8be051adf6d,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,7,2022-05-05,2022-11-12
0xe6e0586f009241b7a16ebe05d828d9e8231f3ade,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,7,2023-03-16,2023-11-08
0x52eea5b529ecf8e700b7ab5293ba672486ae56fe,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-04-08,2022-09-06
0x1597bc9c167ba318da52ee94fdb0efaf84837bbf,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-16,2022-08-14
0x7627d2285f0eef60c22f2a2685657664804ec634,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-06-03,2022-10-24
0x62314a3d00c09329319f8914aadb736264a7d4dc,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-21,2022-08-02
0x662d9bea49901dd961fb2671581b4aa280adfb98,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-04-22,2022-09-16
0xe41b6cfe3a220f7d59fef7d74025a2d0147de89a,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-02-28,2022-07-29
0xda1a100ecd1b4bbca1a8dba893a5091661c080f5,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-21,2022-08-02
0x4c2e95bb1b5454446183ddcf1803a18b0a97d888,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-02,2022-07-29
0x2e8d2efea5584ebe00c94a206473a70b3c556c0a,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-04-04,2022-09-13
0x5ede28fcb725b5e9d0e178c8f995ea71484ee090,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-11,2022-08-08
0x01e4533e02cb4da3578e8b329dcec2f7e53cdda3,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-04-06,2022-09-05
0x04e670b3e8962b1702fe8385f295b1f7700217de,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-25,2022-08-23
0xb715372589b3aef4ba6a0d6f154470f7a508696f,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-07-08,2022-11-12
0xff801bf26d2b91ea331c6675fce015a7fea58372,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-30,2022-08-25
0xc2527a9ababe33f36497708ca482567e81b1cd01,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-04-19,2022-09-16
0xb721a2ae1ba76a6d30b2f93c74e23453efb66058,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-24,2022-08-22
0x78a07659e823abbc7ab58e47bed3255545380620,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-05-20,2022-10-24
0x98e3c5f2ae55f6b471847e932fd64784c33f3a1e,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-14,2022-08-11
0x1dd2013ee684ae91add3df44fecc1f4192bf558d,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-04-19,2022-09-13
0xbca8d1a7cc590f5de2e5e93ea0e7a9c9a0b7e9bb,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-05-20,2022-10-18
0x50a38c95f05be144c4c8a789e8e629bd9fe86e99,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-14,2022-08-13
0x141ffd9bd6bc40fe58eb0396fa3e3feae8fee189,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-21,2022-08-17
0x4325843383aaa446c93a7f13e5f09420eac92391,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-08,2022-08-05
0xb7abacc257e67931fb6f3761b1552d0cbee41590,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-11,2022-08-02
0xbd23294f556f74083359c1afa4d352044eeaafd6,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-03-08,2022-08-06
0x43b0938b4c52eaab64eee8d5050387a4bb0e2ebe,MapleLoan,0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,6,6,2022-05-07,2022-10-04
