month,amount,syrup_bought,avg_price
Jan 2025,"$81,256.00",793462.86,$0.10
Feb 2025,"$77,797.00",589912.83,$0.13
Mar 2025,"$74,200.00",580198.99,$0.13
Apr 2025,"$124,000.00",528294.07,$0.23
May 2025,"$212,000.00",525670.58,$0.40
Jun 2025,"$260,000.00",479218.13,$0.54
Jul 2025,"$320,000.00",736383.42,$0.44
Aug 2025,"$353,500.00",827381.35,$0.43
Sep 2025,"$375,750.00",900326.4,$0.42
Oct 2025,$0.00,0,
Nov 2025,"$529,119.21",1997430,$0.26
Dec 2025,$0.00,0,
Jan 2026,$0.00,0,
Feb 2026,$0.00,0,
Mar 2026,$0.00,0,
Apr 2026,$0.00,0,
May 2026,$0.00,0,
Jun 2026,"$375,000.00",2500000,$0.15
Jul 2026,"$136,768.00",852840.7,$0.16
