section,old_query,new_query,query_name,new_viz_ids,fix
Overview,8087877,8714392,Maple Finance Pools Snapshot,12738781;12738783,
Overview,8254314,8714289,Maple Finance Loan Book,12738657;12738659,
Overview,8259647,8714393,Maple Finance Loan Book (Time series),12738785;12738786,
Overview,7850189,8714394,Maple Finance - All Pools,12738789;12738791;12738793;12738795;12738796,
Overview,7794968,8714399,Pool AUM vs Deposits Over Time (Protocol totals),12738804,
Overview,7795642,8714401,LP Yield Over Time,12738805,
Overview,8165798,8714403,Maple Finance Outstanding Loans,12738807;12738812,
Supply-Side,8164301,8714443,Maple Finance Supply Side Overview,12738870,
Supply-Side,8164208,8714447,Maple Finance Supply Side Overview (Per Pool),12738876,
Supply-Side,7811498,8714449,Maple Finance Deposit Inflows,12738877;12738878;12738882,
Supply-Side,8163448,8714451,Maple Finance Monthly Deposit Inflows,12738884;12738885,
Supply-Side,7812085,8714452,Maple Finance Lenders,12738887;12738889;12738890;12738891,
Supply-Side,7812105,8714461,Maple V2 Deposits By Size,12738906;12738908,Full Distribution: log y-axis
Supply-Side,7811948,8714462,Maple V2 Deposits (Depositor Tiers),12738910,
Supply-Side,7811870,8714466,Maple V2 Deposits (Top 10 Depositor Share),12738914,
Supply-Side,7812198,8714467,Maple V2 Average Deposit Size Over Time,12738916,
Demand-Side,8165699,8714517,Maple Finance Borrower Totals,12738973,
Demand-Side,7829130,8714525,Maple Finance Borrower Pulse,12738975,
Demand-Side,8165870,8714527,Maple Finance Borrower Rates,12738979;12738980,Monthly Loans vs Avg Interest Rate: column+line dual axis
Demand-Side,8165715,8714541,Maple Finance Monthly Borrowers,12738982;12738983;12738986;12738987,
Demand-Side,7829235,8714555,Maple Finance - Revenue Per Loan,12738995;12738997,Chart (scatter): log x+y axes
Demand-Side,8165816,8714556,Maple Finance Loan Defaults,12738999;12739000,
Demand-Side,7820984,8714558,Maple V2 - Open Term Loans (Borrowed Dollar Utility),12739001;12739003;12739005,
Revenue/Fees,7850791,8714585,Maple Finance Revenue Model,12739043;12739045;12739047,
Revenue/Fees,8088441,8714590,Revenue Model: By Pool/Asset - All-Time Totals,12739050,
Revenue/Fees,8117342,8714592,Maple Finance Fees Breakdown,12739053;12739054,
Revenue/Fees,7850594,8714593,Maple Finance Monthly Fee Breakdown,12739056;12739057;12739059;12739062;12739064;12739067,
Revenue/Fees,8117336,8714599,Maple V2 - Fee Wedge Split (Quarterly),12739075;12739077;12739079;12739081;12739086,
Revenue/Fees,7828334,8714601,Maple V2 Strategy Fees (Total),12739087;12739089;12739091,
Revenue/Fees,8096589,8714602,Maple Finance - Monthly OTC Revenue,12739092,
SYRUP,8226973,8713706,SYRUP Price (Live),12738821,
SYRUP,8107853,8714648,SYRUP 1Y Performance,12739126,
SYRUP,8232796,8714143,SYRUP Time Series,12738813;12738815,Trading Volume vs Price: column+line dual axis
SYRUP,8096819,8714651,SYRUP Buybacks (Monthly),12739127;12739129,
SYRUP,8108196,8714652,Maple AUM vs Token Price,12739131,AUM vs Token Price: column+line dual axis
SYRUP,8108258,8714654,Maple Finance Market Cap: AUM Ratio,12739132,
SYRUP,8166262,8714657,Maple Finance Market Cap: Revenue (TTM),12739133,
syrupUSDG,8084139,8714666,syrupUSDG Daily Metrics,12739141;12739142;12739143;12739144;12739145,
syrupUSDG,8087879,8714668,syrupUSDG Summary,12739147;12739150,
syrupUSDG,8035988,8714670,SyrupUSDG - Supply Price & AUM by Chain,12739151;12739153,
syrupUSDG,8087891,8714671,Demand-Side: syrupUSDG Top Loans by Interest Generated,12739156,
